"","Continuous.Data","Standard.Deviation","Mean","Medians"
"1","Age",2.68927785303846,45.8495602062481,46
"2","Pulse",4.81129845134524,35.187253414264,35
"3","Height",6.74150386932022,162.356449541284,162.4
"4","Weight",20.486960299477,74.8819011280698,70.6
